0,1,2,3,4,5,6,7,8,9
0.53849065,0.4530722,-0.13885769,-0.014609273,0.2770934,-0.82567316,0.06948601,-0.02644627,-0.37210706,-0.65183413
0.5520867,0.47274083,0.07501171,-0.0354495,0.54241794,-0.78189033,0.20333749,0.056437578,0.34638992,-0.20840564
0.5837057,0.5005646,0.24543698,0.030482009,0.91938883,-0.7214094,0.518808,0.13650918,0.7385717,0.3095287
0.59426016,0.52359325,0.5347168,0.008142793,0.710744,-0.69647443,0.15165131,0.047733292,0.78830636,-0.41750517
0.5935901,0.5322827,0.036534306,-0.09168166,0.3383924,-0.8688416,-0.038682576,-0.027579676,0.3652796,-0.776277
0.5960172,0.5481206,0.25094673,-0.050867315,0.83609706,-0.8265971,0.013180673,0.061404377,0.346901,-0.058081683
0.58460295,0.5523024,0.096520044,-0.20987804,-0.01727012,-0.7682947,-0.21896939,-0.048716445,0.4839263,-1.6177002
0.6159084,0.5696867,0.17716657,-0.07603972,1.0341032,-0.8319475,0.51238716,0.05965526,0.44003075,-0.011960348
0.6489637,0.59151787,0.21117392,0.073865056,1.1896974,-0.81259674,0.54024523,0.14786054,0.45714366,0.40675113
0.67140555,0.62029594,0.058563225,0.13053903,1.0758524,-0.8526111,0.3561253,0.0671747,0.11366034,0.34619936
0.69289297,0.6343716,-0.1008948,0.047304958,0.57928646,-0.8436971,0.34452903,-0.007708442,-0.27246663,-0.09169891
0.71033806,0.6503532,0.48079723,0.007081824,0.66673005,-0.61424595,0.2745598,0.07837132,0.2794733,-0.015070203
0.7278272,0.67559725,0.53353703,0.060401753,1.0590833,-0.54169935,0.27325666,0.18475552,0.29989794,-0.2939794
0.7442423,0.68948025,0.2502594,0.017586462,0.7090038,-0.6038584,0.2575592,0.0061833947,-0.3686291,-0.6515928
0.78632194,0.7108911,0.7534607,0.19059527,1.3877982,-0.13847989,0.69706845,0.35679302,0.5602501,0.18861988
0.7949894,0.7166207,0.08568961,0.017711198,0.31639603,-0.009193536,0.12882113,0.073899,-0.19343583,-0.58643055
